__time,/joint_states/fanuc_m20ia_35m_joint1/position,/joint_states/fanuc_m20ia_35m_joint1/velocity,/joint_states/fanuc_m20ia_35m_joint2/position,/joint_states/fanuc_m20ia_35m_joint2/velocity,/joint_states/fanuc_m20ia_35m_joint3/position,/joint_states/fanuc_m20ia_35m_joint3/velocity,/joint_states/fanuc_m20ia_35m_joint4/position,/joint_states/fanuc_m20ia_35m_joint4/velocity,/joint_states/fanuc_m20ia_35m_joint5/position,/joint_states/fanuc_m20ia_35m_joint5/velocity,/joint_states/fanuc_m20ia_35m_joint6/position,/joint_states/fanuc_m20ia_35m_joint6/velocity,/joint_states/header/stamp,/joint_states/joint_world_to_slider/position,/joint_states/joint_world_to_slider/velocity
1707309220.427166,0.000692427,0.047171223,-0.000522103,-0.079700151,-0.000274437,-0.045292612,0.002829882,-0.767822746,-0.010491250,0.194305876,-0.009743117,-0.187651618,9.859000000,0.000019780,-0.042611022
1707309220.429502,0.000701257,0.008829927,-0.000596423,-0.074319757,-0.000345750,-0.071313270,0.000324297,-2.505585530,-0.010117471,0.373778898,-0.007827466,1.915650813,9.860000000,-0.000017715,-0.037495313
1707309220.434598,0.000670596,-0.030660730,-0.000671446,-0.075023529,-0.000422712,-0.076961825,-0.003875014,-4.199310485,-0.009614610,0.502861429,-0.003847364,3.980102174,9.861000000,-0.000049831,-0.032115633
1707309220.436002,0.000380066,-0.114984212,-0.000972798,-0.113725902,-0.000357859,0.076604333,-0.010187640,-0.437059278,-0.008281949,0.374914509,0.003295789,0.756533898,9.864000000,-0.000117149,-0.018972735
1707309220.439069,0.000257349,-0.122717150,-0.001089897,-0.117098328,-0.000253016,0.104842100,-0.008795790,1.391850550,-0.007923293,0.358655431,0.002165598,-1.130190927,9.865000000,-0.000133889,-0.016739840
1707309220.443290,-0.000009128,-0.141287163,-0.001284902,-0.086522666,-0.000104273,0.050148966,-0.001782455,3.856839470,-0.006874207,0.625713315,-0.004309255,-3.492957639,9.867000000,-0.000162343,-0.013158974
1707309220.444400,-0.000165473,-0.156345469,-0.001342824,-0.057921441,-0.000122138,-0.017864484,0.002500502,4.282956978,-0.005992584,0.881622965,-0.007993585,-3.684330137,9.868000000,-0.000173874,-0.011531361
1707309220.445286,-0.000328449,-0.162975719,-0.001368975,-0.026150980,-0.000230574,-0.108436076,0.004916249,2.415747527,-0.004798639,1.193945610,-0.009615012,-1.621427712,9.869000000,-0.000184916,-0.011041908
1707309220.446048,-0.000492845,-0.164396003,-0.001373710,-0.004735220,-0.000397327,-0.166753142,0.005531378,0.615129183,-0.003376515,1.422123370,-0.009269381,0.345631664,9.870000000,-0.000196306,-0.011390233
1707309220.461559,-0.000654226,-0.161381341,-0.001373461,0.000249080,-0.000571911,-0.174584189,0.004439333,-1.092044772,-0.001855413,1.521101996,-0.007075179,2.194201583,9.871000000,-0.000208800,-0.012493385
1707309220.465637,-0.000951260,-0.142812598,-0.001422206,-0.036783305,-0.000746855,-0.045415326,-0.002514469,-4.247999165,0.000976267,1.346984750,0.002408469,5.558651841,9.873000000,-0.000239956,-0.016844423
1707309220.470801,-0.001051070,-0.099810662,-0.001506035,-0.083828542,-0.000615419,0.131435793,-0.004665863,-2.151393651,0.001711866,0.735599062,0.005508908,3.100438644,9.874000000,-0.000262244,-0.022287480
1707309220.472614,-0.001102696,-0.051626084,-0.001622718,-0.116683652,-0.000348988,0.266430496,-0.004798295,-0.132432736,0.001937916,0.226050752,0.006205798,0.696890165,9.875000000,-0.000290680,-0.028436232
1707309220.478631,-0.001102513,0.000183529,-0.001744275,-0.121556899,-0.000031276,0.317712464,-0.003063070,1.735224968,0.001859892,-0.078024138,0.004627202,-1.578595726,9.876000000,-0.000325717,-0.035037725
1707309220.479104,-0.000810384,0.132986637,-0.001829080,0.041289329,0.000253269,-0.094792790,0.003375197,0.486828876,0.002270683,0.462045608,-0.003484600,-1.220892375,9.879000000,-0.000467846,-0.052174131
1707309220.482588,-0.000655350,0.155034810,-0.001723814,0.105266359,-0.000015729,-0.268998011,0.001901851,-1.473345430,0.003036450,0.765767014,-0.002781501,0.703099276,9.880000000,-0.000522942,-0.055096106
